cardID	名前	読み	Name	セット	cost coin	cost potion	cost debt	分類	種類	VP	card	action	buy	coin	VPtoken	能力	説明	推奨の組合せ	メモ	true	名前
Chancellor	宰相	さいしょう	Chancellor	基本	3	0	0	王国	アクション	0	0	0	0	2	0	+2コイン あなたの山札のカードすべてを、即座に捨て札に置くことができる。 +2 Coins You may immediately put your deck into your discard pile. 《2nd edition》 -	使用するプレイヤーは、このターンに他の事（他のアクションカードの使用や、カードの購入）を実行する前に「宰相」（自分の山札を表向きにして捨て札置き場に置くかどうかの決定）を解決しなければならない。山札のカードの内容を、捨て札にする前に見ることはできない。	基 ：ビッグ・マネー（Big Money）、相互作用（Interaction）、村の広場（Village Square） 陰＋基：手札熱狂（Hand Madness） 海＋基：反復（Repetition） 錬＋基：薬剤調合師たち（Potion Mixers） 繁＋基：良き人生（The Good Life） 収＋基：道化師の仕事場（The Jester's Workshop）※災い 異＋基：異国への冒険（Adventures Abroad） ギ＋基：蛇足（Gilding the Lily）	※山札のカードすべてを捨て札に置いたとき、山札の一番下のカードが捨て札の一番上のカードとなる。これは以下のルールを踏まえた結果である。 1）山札は枚数を数えることはできるが、山札の表面を見ることはできない。 2）捨て札は枚数を数えることはできず、一番上のカードを除いて捨て札の表面を見ることはできない。 3）手札や場に出しているカードを捨て札にするときは好きな順番で置くことができるが、山札のカードを一度に捨て札に置くときは、カードの束をそのままひっくり返して捨て札置き場に置くことになる（逆順になる）。 ※「宰相」の効果により山札のカードを捨て札に置くとき、その中に「坑道」があっても、「坑道」のリアクションの効果は使用できない。これは、山札すべてを捨て札に置くそのときに「坑道」の存在は確認できないからである。 	true	宰相
Chapel	礼拝堂	れいはいどう	Chapel	基本	2	0	0	王国	アクション	0	0	0	0	0	0	あなたの手札から最大4枚までのカードを、廃棄する。 Trash up to 4 cards from your hand. 《2nd edition》 Trash up to 4 cards from your hand.	解決時には「礼拝堂」のカード自身は手札にないため、「礼拝堂」のカード自身を廃棄することはできない。別の「礼拝堂」のカードが手札にあれば、それを廃棄することは可能である。	基 ：ビッグ・マネー（Big Money）、サイズ変形（Size Distortion）	※手札から廃棄するカードは、好きな順番でまとめて廃棄置き場に置く。 ※廃棄する枚数は0枚でもよい。この場合でも「礼拝堂」自体は1アクションを消費して使用したことになる。 	true	礼拝堂
Council_Room	議事堂	ぎじどう	Council Room	基本	5	0	0	王国	アクション	0	4	0	1	0	0	+4カードを引く +1カードを購入 他のプレイヤー全員は、カードを1枚引く。 +4 Cards +1 Buy Each other player draws a card. 《2nd edition》 +4 Cards +1 Buy Each other player draws a card.	他のプレイヤーは、強制的にカード1枚を引かなければならない。他のプレイヤーは、必要であれば捨て札をシャッフルして新たな山札を作る。	基 ：相互作用（Interaction） 陰＋基：手札熱狂（Hand Madness） 海＋基：明日への架け橋（Reach for Tomorrow） 錬＋基：禁断の芸術（Forbidden Arts） 繁＋基：王の軍隊（The King's Army）	※「議事堂」はアタックではないため、他のプレイヤーはアタックの使用に対するリアクション（「堀」「秘密の部屋」「馬商人」「物乞い」「隊商の護衛」）は使用できない。また、「灯台」「チャンピオン」でも影響を防ぐことはできない。 	true	議事堂
Feast	祝宴	しゅくえん	Feast	基本	4	0	0	王国	アクション	0	0	0	0	0	0	このカードを廃棄する。 コスト5コイン以下のカード1枚を獲得する。 Trash this card. Gain a card costing up to 5 Coins. 《2nd edition》 -	ここで獲得したカードは、自分の捨て札置き場に置く。獲得するカードは、サプライにあるカードでなければならない。財宝やアクションカード（「市場」など）を使用してコインを増やして、獲得するカードのコストを増やすことはできない。「祝宴」に「玉座の間」を使用した場合、「祝宴」を廃棄置き場に置くのは1回だけだが、2枚のカードを獲得することができる。「祝宴」を廃棄することは、カード獲得の条件ではない。廃棄と獲得の2つの事項がこのカードの効果である。	基 ：ビッグ・マネー（Big Money）、サイズ変形（Size Distortion） 収＋基：道化師の仕事場（The Jester's Workshop）	※「祝宴」の効果では、コストにポーションのあるカードを獲得することはできない。 	true	祝宴
Festival	祝祭	しゅくさい	Festival	基本	5	0	0	王国	アクション	0	0	2	1	2	0	+2アクション +1カードを購入 +2コイン +2 Actions +1 Buy +2 Coins 《2nd edition》 +2 Actions +1 Buy +2 Coins	複数の「祝祭」を使用する場合、自分のアクション数に注意する。残りのアクションの数を、常に声に出して宣言すると良い。（例：「私は祝祭を使って、アクション残り2。私は市場を使って、アクション残り2。私はもう1枚の祝祭を使って、アクション残り3…」など。）	基 ：相互作用（Interaction）、村の広場（Village Square） 陰＋基：下役たち（Underlings） 海＋基：反復（Repetition） 錬＋基：薬剤調合師たち（Potion Mixers） 収＋基：賞金稼ぎ（Bounty of the Hunt） 異＋基：異国への冒険（Adventures Abroad） 暗＋基：騎士道とバカ騒ぎ（Chivalry and Revelry） ギ＋基：美術工芸（Arts and Crafts）		true	祝祭
Gardens	庭園	ていえん	Gardens	基本	4	0	0	王国	勝利点	0	0	0	0	0	0	あなたの山札のカード10枚（端数切り捨て）につき勝利点1を得る。 Worth 1 VP for every 10 cards in your deck (rounded down). 《2nd edition》 Worth 1 VP per 10 cards you have (round down).	この王国カードは、アクションカードではなく、勝利点カードである。このカードは、ゲーム終了時まで何の効果もない。ゲーム終了時に、自分のデッキのカード（自分の山札、手札、捨て札のすべてのカード）10枚につき勝利点1を獲得できる。自分のデッキが39枚のとき、端数の9枚は切り捨てられて勝利点にならず、「庭園」のカードで獲得できる勝利点は3になる。ゲームの準備のとき、3人または4人でゲームをする際は12枚、2人でゲームをする際は8枚の山札をサプライに配置する。	基 ：サイズ変形（Size Distortion） 錬＋基：禁断の芸術（Forbidden Arts） 繁＋基：良き人生（The Good Life） 暗＋基：騎士道とバカ騒ぎ（Chivalry and Revelry） ギ＋基：きれいな暮らし（Clean Living） 冒＋基：背格好のおかしな息子（Son of Size Distortion） 帝＋基：銀の弾丸（Silver Bullets）	※「庭園」は、5～6人でプレイする際も12枚をサプライに配置する。 ※「あなたの山札のカード」とは、ゲーム終了時における自分のデッキのすべてのカードのことであり、マット上にあるカードや、「庭園」自体も含めて数える。 	true	庭園
Laboratory	研究所	けんきゅうじょ	Laboratory	基本	5	0	0	王国	アクション	0	2	1	0	0	0	+2カードを引く +1アクション +2 Cards +1 Action 《2nd edition》 +2 Cards +1 Action	カードを2枚引く。自分のアクションフェイズにもう1つアクションを使用できる。	基 ：ビッグ・マネー（Big Money）、サイズ変形（Size Distortion） 錬＋基：禁断の芸術（Forbidden Arts） 繁＋基：巨費（Biggest Money） 収＋基：凶兆（Bad Omens）、道化師の仕事場（The Jester's Workshop） 異＋基：異国への冒険（Adventures Abroad） 暗＋基：騎士道とバカ騒ぎ（Chivalry and Revelry） ギ＋基：美術工芸（Arts and Crafts） 帝＋基：銀の弾丸（Silver Bullets）		true	研究所
Library	書庫	しょこ	Library	基本	5	0	0	王国	アクション	0	0	0	0	0	0	あなたの手札が7枚になるまでカードを引く。 この方法で引いたアクションカードを脇に置いてもよい。（7枚には数えない。）脇に置いたカードは、このアクションの後、捨て札にする。 Draw until you have 7 cards in hand. You may set aside any Action cards drawn this way， as you draw them; discard the set aside cards after you finish drawing. 《2nd edition》 Draw until you have 7 cards in hand， skipping any Action cards you choose to; set those aside， discarding them afterwards.	効果の解決中に自分の捨て札をシャッフルして新たな山札を作らなければならない場合、脇に置いたカードを、シャッフルして新たな山札に入れないようにする。脇に置いたカードは、カードを引き終わったときに、捨て札に置く。新たな山札を作っても、山札のカードが足りない場合、新たな山札にあったカードだけしか引くことができない。アクションカードを脇に置くことは、強制ではなく、脇に置かないことも選択できる。「書庫」を使用したときに自分の手札が7枚以上ある場合、カードを引くことはできない。	基 ：相互作用（Interaction）、村の広場（Village Square） 陰＋基：下役たち（Underlings） 海＋基：ギブ＆テイク（Give and Take） 異＋基：辻強盗（Highway Robbery） 暗＋基：騎士道とバカ騒ぎ（Chivalry and Revelry） ギ＋基：蛇足（Gilding the Lily） 帝＋基：何事もほどほどに（Everything in Moderation）	※脇に置くとは、カードを、指示された場所に行くまで、脇に置いておくことをいう。カードを脇に置くときは、（特に指示のない限り）そのカードをテーブルの上に表向きにして置く。どのプレイヤーも、表向きの脇に置いたカードの内容を確認することができ、裏向きに脇に置いたカードの枚数を数えることができる（自分のカードでも他のプレイヤーのカードでも可能である）。脇に置くカードの効果は発生しない。カードを脇に置くことを指示するアクションカードに、脇に置いたカードをどうしたらよいかの指示がある。 ※山札からカードを引くときは、1枚を引き、その1枚がアクションカード以外なら手札に加え、アクションカードの場合は手札に加えるか脇に置くかを選択する。この手順を手札が7枚になるまで繰り返す。次の1枚を引いた後に、それまでに引いたアクションカードの脇に置くかの選択を変更することはできない。 ※脇に置いたカードは、手札を訪問せず、山札から直接脇へ移動したと解釈する。手札が7枚になった後、山札から脇に置いたカードは、好きな順番でまとめて捨て札にする。 ※「書庫」の効果により、『「相続」の効果によりアクションカードの種類を得た「屋敷」』を引いた場合は、脇に置いてもよい。 	true	書庫
Market	市場	いちば	Market	基本	5	0	0	王国	アクション	0	1	1	1	1	0	+1カードを引く +1アクション +1カードを購入 +1コイン +1 Card +1 Action +1 Buy +1 Coin 《2nd edition》 +1 Card +1 Action +1 Buy +1 Coin	カードを1枚引く。自分のアクションフェイズに、アクションカードをもう1枚使用できる。自分の購入フェイズに、サプライにあるカードをもう1枚購入でき、使う財宝カードの合計コイン数に、追加で1コイン加えることができる。	基 ：最初のゲーム（First Game）、ビッグ・マネー（Big Money）、村の広場（Village Square） 海＋基：ギブ＆テイク（Give and Take） 錬＋基：化学実験（Chemistry Lesson） 収＋基：道化師の仕事場（The Jester's Workshop） ギ＋基：蛇足（Gilding the Lily） 冒＋基：レベルアップ（Level Up） 帝＋基：銀の弾丸（Silver Bullets）	※「＋Ｘカードを引く」の効果により、自分の山札の上から即座にＸ枚のカードを引いて手札に加える。自分の山札の残りカードが足りずに指示された枚数を引くことができない場合、捨て札をシャッフルして新たに山札を作り、足りない枚数を新たな山札から引く。それでも指示された枚数を引くことができない場合は、山札にあるだけのカードを引く。 ※「＋Ｘアクション」の効果により、このターンに追加のアクションをＸ回実行できる（回数は残してもよい）。プレイヤーは、先に使用したアクションカードの効果を完全に解決してから、追加のアクションカードを使用する。使用したすべてのアクションは、自分のターンの購入フェイズに移行する前に完了させなければならない。 ※「＋Ｘカードを購入」の効果により、自分のターンの購入フェイズに、サプライからカードまたはイベントを追加でＸ枚購入できる（購入可能枚数は残してもよい）。「闇市場」の効果によるアクションフェイズ中の購入の枚数を増やすことはできない。 ※「＋Ｘコイン」の効果により、自分のターンの購入フェイズ（および「闇市場」の効果によるアクションフェイズ）で使用するコインを追加でＸコイン得る（コインは残してもよい）。 	true	市場
Militia	民兵	みんぺい	Militia	基本	4	0	0	王国	アクション－アタック	0	0	0	0	2	0	+2コイン 他のプレイヤーは全員、自分の手札が3枚になるまで捨て札をする。 +2 Coins Each other player discards down to 3 cards in his hand. 《2nd edition》 +2 Coins Each other player discards down to 3 cards in hand.	アタックされるプレイヤーは、自分の手札が3枚になるまでカードを捨て札に置かなければならない。「民兵」の使用時に、手札が3枚以下のプレイヤーは、手札を捨て札にできない。	基 ：最初のゲーム（First Game）、相互作用（Interaction） 陰＋基：手札熱狂（Hand Madness） 海＋基：反復（Repetition） 錬＋基：薬剤調合師たち（Potion Mixers） 収＋基：賞金稼ぎ（Bounty of the Hunt） ギ＋基：きれいな暮らし（Clean Living） 冒＋基：レベルアップ（Level Up）	※手札から捨て札にするカードは、好きな順番でまとめて捨て札にする。 	true	民兵
Mine	鉱山	こうざん	Mine	基本	5	0	0	王国	アクション	0	0	0	0	0	0	あなたの手札の財宝カード1枚を廃棄する。 廃棄した財宝よりもコストが最大3コイン多い財宝カード1枚を獲得し、あなたの手札に加える。 Trash a Treasure card from your hand. Gain a Treasure card costing up to 3 Coins more; put it into your hand. 《2nd edition》 You may trash a Treasure from your hand. Gain a Treasure to your hand costing up to 3 Coins more than it.	通常、「銅貨」1枚を廃棄して「銀貨」1枚を獲得、または「銀貨」1枚を廃棄して「金貨」1枚を獲得できる。しかし、財宝1枚を廃棄して、同じ種類の財宝やコストの少ない財宝を獲得することも可能である。ここで獲得した財宝カードは自分の手札に加えるため、同一ターンに使うことができる。廃棄する財宝カードが手札にない場合、カードを獲得することはできない。	基 ：最初のゲーム（First Game）、ビッグ・マネー（Big Money） 陰＋基：手札熱狂（Hand Madness） 繁＋基：巨費（Biggest Money）	※財宝カード1枚を廃棄した場合は、コストが最大3コイン多い財宝カード1枚を獲得し手札に加えなければならない。ただしサプライに該当する財宝カードがない場合は、何も獲得することはできない。 ※手札に廃棄する財宝カードが1枚もない場合でも、「鉱山」を使用することはできる。この場合は何の効果も発生しないが、「鉱山」自体は1アクションを消費して使用したことになる。 ※コストにポーションのある財宝カード（「賢者の石」）を獲得するためには、コストにポーションのある財宝カードを廃棄しなければならない。 	true	鉱山
Moat	堀	ほり	Moat	基本	2	0	0	王国	アクション－リアクション	0	2	0	0	0	0	+2カードを引く ======== 他のプレイヤーがアタックカードを使用した時、手札からこのカードを公開できる。 そうした場合、あなたはそのアタックカードの影響を受けない。 +2 Cards ======== When another player plays an Attack card， you may reveal this from your hand. If you do， you are unaffected by that Attack. 《2nd edition》 +2 Cards ======== Whe	アタックカードは、カードの下部に「アタック」と（通常「アクション－アタック」と）表記されている。いずれかのプレイヤーがアタックカードを使用したとき、（アタックの解決前に）自分の手札の「堀」カードを他のプレイヤーに見せることができ、その後自分の手札に戻す。自分は、そのアタックの影響を受けない。「魔女」の呪いカードを受け取ることも、「密偵」のためにカードを公開することもない。「堀」を見せたプレイヤーは、そのアタックの効果を適用するときに、ゲームに参加していないかのように扱う。「堀」は、他のプレイヤーへのアタックや、アタックをするプレイヤーへの効果を無効にすることはない。例えば、他のプレイヤー全員が「魔女」に対して「堀」を使用しても、「魔女」を使用したプレイヤーは、カードを2枚引くことができる。「堀」は、カードを2枚引くアクションとして、自分のターンに使用することもできる。	基 ：最初のゲーム（First Game）、相互作用（Interaction） 錬＋基：化学実験（Chemistry Lesson） 繁＋基：王の軍隊（The King's Army）	※「堀」をリアクションとして公開する場合、他のプレイヤーのアタックの効果の解決より前に公開する。アタックの効果を複数の効果から選択するアタックカードに対しリアクションとして公開する場合は、効果の選択の前に公開する。アタックを使用するプレイヤーは、リアクションの公開を受けてアタックの使用を取り消すことはできない。 	true	堀
Moneylender	金貸し	かねかし	Moneylender	基本	4	0	0	王国	アクション	0	0	0	0	0	0	あなたの手札から銅貨1枚を廃棄する。 そうした場合、+3コインを使用できる。 Trash a Copper card from your hand. If you do， +3 Coins. 《2nd edition》 -	手札に廃棄する「銅貨」がない場合は、購入フェイズに使う+3コインを得ることはできない。	基 ：ビッグ・マネー（Big Money） 海＋基：ギブ＆テイク（Give and Take） 繁＋基：巨費（Biggest Money） 収＋基：賞金稼ぎ（Bounty of the Hunt） 異＋基：辻強盗（Highway Robbery） 暗＋基：天国と地獄（High and Low） ギ＋基：美術工芸（Arts and Crafts）、きれいな暮らし（Clean Living） 冒＋基：背格好のおかしな息子（Son of Size Distortion） 帝＋基：銀の弾丸（Silver Bullets）	※手札に「銅貨」が1枚以上ある場合は、そのうち1枚を廃棄しなければならない。手札に「銅貨」が1枚もない場合は、廃棄することはできない。この場合、+3コインの効果は発生しない。 ※手札に廃棄する「銅貨」が1枚もない場合でも、「金貸し」を使用することはできる。この場合は何の効果も発生しないが、「金貸し」自体は1アクションを消費して使用したことになる。 ※「役人」のように手札を公開する義務がないため、「役人」を使用した際に手札に「銅貨」があっても廃棄しないことが可能だが、通常するべきではない。 	true	金貸し
Remodel	改築	かいちく	Remodel	基本	4	0	0	王国	アクション	0	0	0	0	0	0	あなたの手札のカード1枚を廃棄する。 廃棄したカードよりコストが最大2コイン多いカード1枚を獲得する。 Trash a card from your hand. Gain a card costing up to 2 Coins more than the trashed card. 《2nd edition》 Trash a card from your hand. Gain a card costing up to 2 Coins more than it.	解決時には「改築」のカード自身は手札にないため、「改築」のカード自身を廃棄することはできない。別の「改築」のカードが手札にあれば、それを廃棄することは可能である。廃棄するカードが手札にない場合は、「改築」によるカードを獲得することができない。獲得したカードは、自分の捨て札置き場に置く。サプライにあるカードのみ獲得可能である。獲得するカードは、廃棄したカードより正確にコストが2コイン分多い必要はなく、同じコストや少ないカードも獲得できる。財宝やアクションカード（「市場」など）を使用して、コインを増やして獲得するカードのコストを増やすことはできない。廃棄したカードと同じカードを獲得することは可能である。	基 ：最初のゲーム（First Game）、村の広場（Village Square） 陰＋基：脱構築（Deconstruction） 錬＋基：化学実験（Chemistry Lesson） 収＋基：道化師の仕事場（The Jester's Workshop） 異＋基：異国への冒険（Adventures Abroad） 暗＋基：騎士道とバカ騒ぎ（Chivalry and Revelry） ギ＋基：蛇足（Gilding the Lily） 帝＋基：何事もほどほどに（Everything in Moderation）	※廃棄とは、廃棄置き場へカードを置くことをいう。カードを廃棄するときは、捨て札置き場ではなく、廃棄置き場にカードを置く。廃棄したカードは通常、サプライに戻ることはなく、購入することもできない（例外として「墓暴き」の効果がある）。 ※獲得とは、（通常サプライから）獲得するカードを取って、（置く場所の指定がない限り）自分の捨て札に置くことをいう。カードを獲得したときに、そのカードを使用することはできない。カードが、捨て札以外の場所へ獲得されるとき、そのカードは捨て札を「訪問」しない。そのカードは直接その場所へ獲得される。 ※「改築」を使用した時、手札にカードが1枚以上ある場合は、そのうち1枚を廃棄しなければならない。手札にカードが1枚もない場合は、廃棄することはできない。この場合、獲得の効果は発生しない。 ※「改築」を使用した時、獲得できるコストのカードがサプライに1枚でもある場合は、それを獲得しなければならない。獲得できるコストのカードがサプライに1枚もない場合は、何も獲得することはできない。 ※手札に廃棄するカードが1枚もない場合でも、「改築」を使用することはできる。この場合は何の効果も発生しないが、「改築」自体は1アクションを消費して使用したことになる。 ※コストにポーションのあるカードを獲得するためには、コストにポーションのあるカードを廃棄しなければならない。 ※サプライにないカード（闇市場デッキ、褒賞カード、避難所カード、その他カード、出世カード）やイベントは獲得することはできない。 	true	改築
Smithy	鍛冶屋	かじや	Smithy	基本	4	0	0	王国	アクション	0	3	0	0	0	0	+3カードを引く +3 Cards 《2nd edition》 +3 Cards	カードを3枚引く。	基 ：最初のゲーム（First Game）、村の広場（Village Square） 錬＋基：薬剤調合師たち（Potion Mixers） 収＋基：賞金稼ぎ（Bounty of the Hunt）		true	鍛冶屋
Spy	密偵	みってい	Spy	基本	4	0	0	王国	アクション－アタック	0	1	1	0	0	0	+1カードを引く +1アクション 各プレイヤー（あなたも含む）は、自分の山札の一番上のカードを公開し、そのカードを捨て札にするかそのまま戻すかをあなたが選ぶ。 +1 Card +1 Action Each player (including you) reveals the top card of his deck and either discards it or puts it back， your choice. 《2nd edition》 -	「密偵」のカードは、使用したプレイヤーを含むすべてのプレイヤーが、自分の山札の一番上のカードを公開する。使用したプレイヤーは、自分の山札を公開する前にカードを1枚引くということに注意する。自分の山札のカードがないプレイヤーは、カードを公開するために捨て札をシャッフルして、新たな山札を作る。この効果の適用順が重要な場合は、「密偵」を使用したプレイヤーから、ターンの進行順で解決していく。公開して捨て札にしなかったカードは、各プレイヤーの山札の一番上に戻す。	基 ：相互作用（Interaction） 陰＋基：脱構築（Deconstruction） 海＋基：明日への架け橋（Reach for Tomorrow） 繁＋基：巨費（Biggest Money）、王の軍隊（The King's Army） 収＋基：凶兆（Bad Omens） 冒＋基：レベルアップ（Level Up）	※すべてのプレイヤーは、山札の一番上のカードを公開したとき、二番目のカードの裏面も公開したことになる。これは、山札から公開されたカードは一時的に山札の上からいなくなったと解釈するためであり、特に「へそくり」の見分けに関係する。 	true	密偵
